OrderID,ProductID,Warehouse,OrderQuantity,LeadTimeDays,ShippingDelayDays,SupplierRating,OrderDate,Month,Year
12000,293,Lagos_WH,409,6,6,1.9,2023-04-24,4,2023
12001,285,Abuja_WH,483,9,9,1.5,2023-03-19,3,2023
12002,186,Lagos_WH,400,18,0,2.8,2023-01-18,1,2023
12003,171,Kano_WH,11,9,3,2.2,2023-05-19,5,2023
12004,225,Kano_WH,343,23,6,1.9,2023-12-02,12,2023
12005,103,Lagos_WH,168,23,5,1.1,2023-05-23,5,2023
12006,235,Abuja_WH,351,20,8,2.3,2023-07-22,7,2023
12007,126,Kano_WH,426,10,3,4.7,2024-04-19,4,2024
12008,125,Lagos_WH,49,16,2,3.2,2024-03-14,3,2024
12009,196,Lagos_WH,136,21,0,2.0,2024-03-18,3,2024
12010,142,Kano_WH,196,12,7,4.9,2023-03-04,3,2023
12011,203,Abuja_WH,232,6,0,2.9836589289818436,2023-07-04,7,2023
12012,208,Lagos_WH,348,14,4,3.0,2023-06-03,6,2023
12013,139,Lagos_WH,399,22,1,4.7,2023-12-28,12,2023
12014,277,Abuja_WH,439,8,5,4.1,2024-09-07,9,2024
12015,294,Abuja_WH,305,15,7,3.1,2023-03-26,3,2023
12016,128,Lagos_WH,264,10,3,1.0,2024-10-12,10,2024
12017,184,Abuja_WH,180,28,0,2.7,2023-07-05,7,2023
12018,216,Abuja_WH,375,5,6,4.2,2024-05-23,5,2024
12019,225,Abuja_WH,467,26,4,2.1,2024-04-03,4,2024
12020,269,Lagos_WH,21,20,1,1.2,2024-09-28,9,2024
12021,117,Abuja_WH,355,27,5,3.4,2023-12-12,12,2023
12022,180,Kano_WH,269,29,5,4.6,2024-02-29,2,2024
12023,248,Kano_WH,124,16,4,5.0,2024-09-20,9,2024
12024,294,Abuja_WH,324,24,5,1.5,2023-05-23,5,2023
12025,161,Kano_WH,58,26,8,4.8,2024-04-05,4,2024
12026,254,Abuja_WH,270,8,8,2.5,2024-03-15,3,2024
12027,195,Abuja_WH,390,11,6,4.0,2024-01-10,1,2024
12028,205,Kano_WH,359,3,2,1.8,2023-02-20,2,2023
12029,274,Lagos_WH,417,2,8,3.7,2024-09-30,9,2024
12030,125,Abuja_WH,375,1,9,3.7,2023-08-18,8,2023
12031,236,Abuja_WH,368,1,6,2.9836589289818436,2024-11-20,11,2024
12032,190,Kano_WH,428,20,3,2.8,2023-05-27,5,2023
12033,222,Kano_WH,142,10,0,2.7,2024-05-06,5,2024
12034,239,Abuja_WH,270,18,9,3.6,2023-03-16,3,2023
12035,115,Kano_WH,209,16,5,4.9,2023-11-28,11,2023
12036,146,Lagos_WH,255,19,5,3.3,2024-08-21,8,2024
12037,155,Lagos_WH,492,16,5,3.2,2024-05-27,5,2024
12038,165,Lagos_WH,64,3,3,2.4,2023-02-08,2,2023
12039,150,Abuja_WH,202,7,8,3.7,2023-10-27,10,2023
12040,126,Kano_WH,203,6,4,2.9836589289818436,2023-01-21,1,2023
12041,209,Kano_WH,16,11,0,1.4,2024-02-16,2,2024
12042,165,Abuja_WH,24,5,3,2.0,2024-01-30,1,2024
12043,161,Abuja_WH,87,9,9,3.4,2024-10-25,10,2024
12044,170,Kano_WH,470,4,2,1.3,2024-10-13,10,2024
12045,235,Abuja_WH,437,12,7,2.9836589289818436,2024-11-30,11,2024
12046,265,Kano_WH,166,10,5,2.9,2024-08-01,8,2024
12047,105,Kano_WH,123,3,9,4.2,2024-11-03,11,2024
12048,219,Abuja_WH,11,23,9,3.1,2023-03-18,3,2023
12049,158,Abuja_WH,195,7,6,2.5,2023-09-02,9,2023
12050,118,Abuja_WH,336,2,9,1.6,2023-10-25,10,2023
12051,178,Abuja_WH,275,25,1,1.8,2023-10-27,10,2023
12052,283,Abuja_WH,477,8,0,3.1,2024-10-17,10,2024
12053,255,Abuja_WH,482,13,1,4.2,2023-03-25,3,2023
12054,237,Kano_WH,320,15,5,2.6,2023-08-12,8,2023
12055,272,Lagos_WH,99,1,4,1.9,2023-08-03,8,2023
12056,194,Abuja_WH,435,2,7,2.5,2024-12-02,12,2024
12057,292,Kano_WH,463,27,3,2.9836589289818436,2023-07-10,7,2023
12058,277,Kano_WH,461,18,2,3.1,2023-10-06,10,2023
12059,259,Kano_WH,465,24,3,1.3,2024-04-09,4,2024
12060,288,Kano_WH,22,27,8,4.4,2023-03-13,3,2023
12061,243,Abuja_WH,174,19,7,4.1,2024-05-30,5,2024
12062,233,Kano_WH,145,7,7,3.8,2024-01-11,1,2024
12063,293,Lagos_WH,261,26,5,4.8,2023-05-31,5,2023
12064,161,Abuja_WH,49,29,4,4.6,2023-02-03,2,2023
12065,165,Lagos_WH,358,22,7,1.0,2024-04-25,4,2024
12066,294,Lagos_WH,100,2,3,4.1,2023-09-27,9,2023
12067,246,Kano_WH,146,16,9,3.3,2024-04-13,4,2024
12068,103,Lagos_WH,471,25,5,2.7,2024-05-30,5,2024
12069,220,Abuja_WH,134,16,8,2.1,2024-04-18,4,2024
12070,142,Kano_WH,453,25,2,1.8,2023-02-15,2,2023
12071,245,Abuja_WH,212,23,8,4.5,2024-07-02,7,2024
12072,210,Abuja_WH,226,4,7,2.5,2024-12-05,12,2024
12073,273,Lagos_WH,96,17,2,2.9836589289818436,2023-07-09,7,2023
12074,208,Lagos_WH,403,14,6,3.9,2024-08-01,8,2024
12075,145,Abuja_WH,464,8,4,4.1,2024-08-25,8,2024
12076,248,Kano_WH,342,9,6,3.5,2024-08-14,8,2024
12077,202,Abuja_WH,415,8,3,2.7,2024-07-20,7,2024
12078,257,Lagos_WH,242,18,2,1.3,2024-02-24,2,2024
12079,291,Abuja_WH,497,7,6,3.4,2024-06-18,6,2024
12080,140,Lagos_WH,193,26,5,4.4,2024-06-27,6,2024
12081,244,Abuja_WH,183,13,4,1.2,2024-12-18,12,2024
12082,232,Lagos_WH,411,1,3,2.4,2023-05-03,5,2023
12083,104,Abuja_WH,82,21,5,2.0,2023-02-08,2,2023
12084,216,Lagos_WH,351,29,0,3.2,2024-05-16,5,2024
12085,174,Kano_WH,126,8,7,1.0,2023-11-13,11,2023
12086,275,Kano_WH,128,9,5,4.5,2024-10-04,10,2024
12087,227,Kano_WH,324,26,4,4.2,2023-05-23,5,2023
12088,203,Kano_WH,326,19,7,1.4,2023-01-08,1,2023
12089,219,Abuja_WH,445,24,3,4.6,2023-03-31,3,2023
12090,137,Abuja_WH,274,15,1,4.1,2023-12-06,12,2023
12091,105,Lagos_WH,243,3,4,4.8,2024-07-15,7,2024
12092,285,Abuja_WH,328,24,6,2.0,2023-03-07,3,2023
12093,113,Abuja_WH,457,27,4,4.4,2023-06-26,6,2023
12094,299,Lagos_WH,23,21,6,1.6,2024-02-05,2,2024
12095,286,Abuja_WH,341,23,1,3.8,2023-10-24,10,2023
12096,292,Kano_WH,241,11,0,1.3,2024-06-14,6,2024
12097,188,Kano_WH,282,14,2,3.9,2023-08-19,8,2023
12098,112,Abuja_WH,26,12,0,1.6,2024-04-04,4,2024
12099,254,Abuja_WH,316,28,2,3.9,2023-01-11,1,2023
12100,252,Lagos_WH,449,22,2,2.8,2023-03-01,3,2023
12101,283,Abuja_WH,417,5,7,1.5,2023-01-21,1,2023
12102,167,Kano_WH,251,2,4,3.3,2024-03-03,3,2024
12103,286,Lagos_WH,342,25,2,1.1,2023-05-31,5,2023
12104,194,Lagos_WH,122,23,4,1.9,2024-08-13,8,2024
12105,276,Lagos_WH,45,7,7,2.2,2024-05-23,5,2024
12106,117,Abuja_WH,327,5,9,5.0,2024-08-20,8,2024
12107,175,Abuja_WH,27,3,9,4.2,2024-06-08,6,2024
12108,102,Abuja_WH,231,25,0,2.2,2024-11-16,11,2024
12109,156,Lagos_WH,389,10,6,2.5,2023-11-05,11,2023
12110,233,Lagos_WH,64,11,4,2.8,2024-11-27,11,2024
12111,168,Kano_WH,371,8,3,4.2,2024-11-25,11,2024
12112,130,Kano_WH,388,6,2,3.7,2023-01-11,1,2023
12113,107,Abuja_WH,133,28,6,3.2,2024-08-15,8,2024
12114,109,Abuja_WH,435,12,9,2.8,2023-05-23,5,2023
12115,102,Kano_WH,494,13,1,2.0,2023-06-17,6,2023
12116,111,Kano_WH,330,2,7,2.8,2024-09-01,9,2024
12117,191,Abuja_WH,279,23,3,4.1,2024-10-16,10,2024
12118,205,Abuja_WH,275,21,9,2.8,2023-08-27,8,2023
12119,193,Abuja_WH,389,16,1,3.1,2023-09-26,9,2023
12120,118,Abuja_WH,270,24,1,2.4,2024-11-07,11,2024
12121,248,Kano_WH,415,22,9,2.9836589289818436,2024-01-02,1,2024
12122,113,Abuja_WH,242,26,0,4.0,2023-09-02,9,2023
12123,202,Abuja_WH,358,13,9,4.7,2023-02-17,2,2023
12124,174,Kano_WH,378,9,7,3.0,2024-03-17,3,2024
12125,128,Kano_WH,252,13,7,1.6,2024-07-07,7,2024
12126,213,Abuja_WH,489,15,5,4.1,2023-09-05,9,2023
12127,106,Abuja_WH,360,8,1,4.0,2023-01-10,1,2023
12128,148,Lagos_WH,174,23,2,3.7,2024-03-08,3,2024
12129,292,Abuja_WH,170,17,8,2.9836589289818436,2023-04-14,4,2023
12130,106,Abuja_WH,231,10,6,2.3,2024-08-16,8,2024
12131,241,Kano_WH,112,9,4,4.0,2024-09-03,9,2024
12132,115,Abuja_WH,106,24,4,4.9,2023-04-09,4,2023
12133,198,Abuja_WH,19,17,6,2.9,2024-12-02,12,2024
12134,243,Lagos_WH,457,29,0,1.7,2024-08-23,8,2024
12135,184,Abuja_WH,195,17,0,1.9,2024-08-26,8,2024
12136,240,Abuja_WH,200,19,2,2.0,2024-09-22,9,2024
12137,181,Kano_WH,172,19,8,3.5,2023-06-20,6,2023
12138,256,Lagos_WH,388,2,7,4.1,2023-10-30,10,2023
12139,172,Abuja_WH,58,11,2,2.4,2023-05-25,5,2023
12140,221,Lagos_WH,165,8,7,3.9,2023-03-27,3,2023
12141,224,Abuja_WH,64,21,3,1.4,2024-02-14,2,2024
12142,160,Abuja_WH,499,17,6,4.6,2024-02-17,2,2024
12143,264,Kano_WH,146,1,1,1.3,2024-12-02,12,2024
12144,208,Abuja_WH,498,18,4,4.2,2024-09-17,9,2024
12145,116,Lagos_WH,468,7,4,3.8,2023-07-22,7,2023
12146,130,Lagos_WH,182,9,4,3.6,2023-05-16,5,2023
12147,158,Abuja_WH,420,25,8,1.2,2024-05-24,5,2024
12148,187,Lagos_WH,425,9,8,3.1,2024-07-17,7,2024
12149,210,Kano_WH,434,10,1,1.5,2024-09-26,9,2024
12150,274,Lagos_WH,131,16,9,2.8,2023-04-13,4,2023
12151,105,Lagos_WH,158,11,8,1.7,2024-09-01,9,2024
12152,131,Abuja_WH,341,6,0,1.6,2023-01-10,1,2023
12153,130,Lagos_WH,16,27,4,3.3,2023-03-21,3,2023
12154,245,Kano_WH,287,12,9,2.1,2024-05-17,5,2024
12155,217,Lagos_WH,105,21,0,4.1,2023-11-04,11,2023
12156,108,Kano_WH,447,28,2,2.0,2024-11-28,11,2024
12157,102,Kano_WH,76,10,9,2.3,2024-03-10,3,2024
12158,225,Kano_WH,85,16,5,3.4,2023-03-11,3,2023
12159,170,Kano_WH,195,26,9,1.0,2024-10-09,10,2024
12160,253,Lagos_WH,470,27,8,4.4,2023-01-22,1,2023
12161,240,Lagos_WH,351,24,3,1.4,2024-01-13,1,2024
12162,261,Abuja_WH,457,22,1,1.1,2024-07-02,7,2024
12163,142,Kano_WH,179,24,4,4.1,2024-12-03,12,2024
12164,260,Abuja_WH,239,14,0,4.2,2023-04-18,4,2023
12165,168,Kano_WH,318,17,9,3.5,2024-01-22,1,2024
12166,263,Kano_WH,37,20,6,4.3,2023-06-22,6,2023
12167,178,Kano_WH,67,26,1,4.7,2023-03-31,3,2023
12168,220,Lagos_WH,270,5,7,1.9,2023-06-12,6,2023
12169,167,Kano_WH,103,4,8,2.8,2024-05-04,5,2024
12170,200,Kano_WH,192,29,1,2.6,2024-05-06,5,2024
12171,226,Abuja_WH,489,22,1,1.7,2024-07-03,7,2024
12172,146,Kano_WH,325,13,9,2.1,2024-03-25,3,2024
12173,288,Abuja_WH,54,7,8,2.6,2023-05-04,5,2023
12174,144,Lagos_WH,477,11,7,1.4,2024-04-10,4,2024
12175,201,Lagos_WH,386,11,6,4.0,2024-07-06,7,2024
12176,195,Kano_WH,413,24,0,3.4,2024-04-22,4,2024
12177,183,Kano_WH,370,24,8,4.7,2023-08-24,8,2023
12178,275,Abuja_WH,146,21,3,2.9836589289818436,2023-01-16,1,2023
12179,140,Abuja_WH,272,24,5,3.6,2023-11-02,11,2023
12180,265,Lagos_WH,144,12,1,4.1,2024-05-18,5,2024
12181,203,Kano_WH,227,3,4,3.0,2024-02-24,2,2024
12182,167,Kano_WH,362,12,0,4.9,2024-07-12,7,2024
12183,110,Abuja_WH,59,3,4,1.2,2024-01-14,1,2024
12184,115,Abuja_WH,232,1,7,3.1,2023-07-08,7,2023
12185,204,Lagos_WH,117,10,4,2.3,2023-12-04,12,2023
12186,164,Lagos_WH,23,1,6,4.9,2023-07-18,7,2023
12187,298,Kano_WH,248,1,7,4.8,2023-09-24,9,2023
12188,294,Abuja_WH,364,26,0,1.4,2024-11-16,11,2024
12189,170,Lagos_WH,231,11,7,2.6,2023-07-23,7,2023
12190,100,Abuja_WH,300,16,0,1.9,2023-05-04,5,2023
12191,298,Lagos_WH,200,3,7,4.3,2023-09-10,9,2023
12192,103,Kano_WH,28,24,9,4.6,2023-07-10,7,2023
12193,181,Lagos_WH,338,25,1,4.5,2024-01-30,1,2024
12194,136,Lagos_WH,324,3,3,2.4,2024-09-07,9,2024
12195,241,Abuja_WH,347,29,0,2.2,2024-06-28,6,2024
12196,178,Lagos_WH,329,29,0,3.7,2024-09-25,9,2024
12197,124,Abuja_WH,202,8,3,4.7,2023-01-12,1,2023
12198,181,Kano_WH,26,27,3,1.2,2024-01-23,1,2024
12199,231,Kano_WH,223,13,3,1.2,2023-06-28,6,2023
12200,293,Lagos_WH,277,16,7,2.6,2023-08-21,8,2023
12201,270,Kano_WH,320,15,3,2.7,2024-08-18,8,2024
12202,125,Abuja_WH,411,10,4,3.0,2024-07-26,7,2024
12203,242,Abuja_WH,459,17,9,3.0,2023-02-12,2,2023
12204,233,Lagos_WH,417,3,1,2.9,2023-03-13,3,2023
12205,264,Kano_WH,240,14,9,4.1,2024-04-17,4,2024
12206,226,Abuja_WH,141,1,9,4.1,2024-05-26,5,2024
12207,270,Abuja_WH,96,26,8,4.0,2024-07-12,7,2024
12208,141,Abuja_WH,13,9,6,2.3,2023-12-10,12,2023
12209,112,Abuja_WH,286,19,0,1.1,2023-09-09,9,2023
12210,243,Abuja_WH,36,26,3,4.3,2024-06-14,6,2024
12211,141,Kano_WH,20,10,6,4.7,2024-05-27,5,2024
12212,137,Lagos_WH,199,21,8,3.3,2023-10-26,10,2023
12213,165,Lagos_WH,329,11,3,1.5,2023-02-24,2,2023
12214,292,Abuja_WH,97,26,6,1.6,2023-06-18,6,2023
12215,232,Kano_WH,164,26,7,4.4,2024-09-05,9,2024
12216,129,Kano_WH,132,14,7,3.7,2023-07-10,7,2023
12217,194,Abuja_WH,457,16,2,2.0,2023-11-14,11,2023
12218,270,Kano_WH,45,7,4,1.7,2023-11-09,11,2023
12219,131,Lagos_WH,100,9,6,2.2,2024-12-30,12,2024
12220,294,Abuja_WH,256,13,5,2.2,2024-06-15,6,2024
12221,294,Abuja_WH,485,7,7,4.3,2023-04-27,4,2023
12222,141,Lagos_WH,71,1,1,4.6,2023-09-09,9,2023
12223,225,Lagos_WH,440,23,7,2.0,2024-05-31,5,2024
12224,104,Kano_WH,235,7,9,1.8,2024-08-05,8,2024
12225,195,Kano_WH,393,2,8,3.2,2023-02-20,2,2023
12226,286,Lagos_WH,331,23,2,3.3,2024-12-09,12,2024
12227,122,Kano_WH,306,2,4,1.9,2024-05-18,5,2024
12228,205,Lagos_WH,227,1,7,4.3,2023-08-28,8,2023
12229,235,Kano_WH,438,9,4,4.7,2023-02-10,2,2023
12230,295,Kano_WH,88,10,1,2.9836589289818436,2024-12-27,12,2024
12231,169,Abuja_WH,262,10,9,4.0,2024-03-21,3,2024
12232,118,Abuja_WH,33,5,3,3.0,2023-03-28,3,2023
12233,205,Lagos_WH,412,7,9,2.9836589289818436,2024-02-29,2,2024
12234,271,Lagos_WH,208,10,8,2.7,2023-10-02,10,2023
12235,192,Lagos_WH,346,22,8,3.0,2024-06-24,6,2024
12236,137,Kano_WH,77,24,9,3.3,2023-05-02,5,2023
12237,271,Abuja_WH,493,26,7,1.1,2023-05-12,5,2023
12238,233,Abuja_WH,305,3,5,3.8,2023-07-16,7,2023
12239,102,Lagos_WH,103,12,4,3.0,2023-07-21,7,2023
12240,179,Kano_WH,201,20,4,3.6,2024-10-15,10,2024
12241,260,Lagos_WH,189,16,0,4.4,2024-03-01,3,2024
12242,165,Abuja_WH,180,18,6,3.3,2023-07-03,7,2023
12243,225,Abuja_WH,370,16,4,4.6,2023-01-04,1,2023
12244,206,Abuja_WH,199,21,2,4.2,2024-01-02,1,2024
12245,157,Abuja_WH,448,27,4,3.5,2024-12-27,12,2024
12246,253,Lagos_WH,471,10,0,3.3,2024-02-08,2,2024
12247,198,Lagos_WH,435,27,3,2.9836589289818436,2024-12-22,12,2024
12248,127,Lagos_WH,452,1,9,4.5,2024-02-02,2,2024
12249,270,Kano_WH,57,16,1,2.7,2023-09-06,9,2023
12250,174,Abuja_WH,311,5,3,1.1,2024-12-03,12,2024
12251,209,Lagos_WH,62,24,3,1.1,2023-12-27,12,2023
12252,115,Lagos_WH,129,12,7,4.7,2023-12-24,12,2023
12253,188,Abuja_WH,329,16,6,1.5,2024-08-21,8,2024
12254,122,Lagos_WH,285,27,0,4.1,2023-08-11,8,2023
