OrderID,ProductID,Warehouse,OrderQuantity,LeadTimeDays,ShippingDelayDays,SupplierRating,OrderDate
12000,293,Lagos_WH,409,6,6,1.9,2023-04-24
12001,285,Abuja_WH,483,9,9,1.5,2023-03-19
12002,186,Lagos_WH,400,18,0,2.8,2023-01-18
12003,171,Kano_WH,11,9,3,2.2,2023-05-19
12004,225,Kano_WH,343,23,6,1.9,2023-12-02
12005,103,Lagos_WH,168,23,5,1.1,2023-05-23
12006,235,Abuja_WH,351,20,8,2.3,2023-07-22
12007,126,Kano_WH,426,10,3,4.7,2024-04-19
12008,125,Lagos_WH,49,16,2,3.2,2024-03-14
12009,196,Lagos_WH,136,21,0,2.0,2024-03-18
12010,142,Kano_WH,196,12,7,4.9,2023-03-04
12011,203,Abuja_WH,232,6,0,,2023-07-04
12012,208,Lagos_WH,348,14,4,3.0,2023-06-03
12013,139,Lagos_WH,399,22,1,4.7,2023-12-28
12014,277,Abuja_WH,439,8,5,4.1,2024-09-07
12015,294,Abuja_WH,305,15,7,3.1,2023-03-26
12016,128,Lagos_WH,264,10,3,1.0,2024-10-12
12017,184,Abuja_WH,180,28,0,2.7,2023-07-05
12018,216,Abuja_WH,375,5,6,4.2,2024-05-23
12019,225,Abuja_WH,467,26,4,2.1,2024-04-03
12020,269,Lagos_WH,21,20,1,1.2,2024-09-28
12021,117,Abuja_WH,355,27,5,3.4,2023-12-12
12022,180,Kano_WH,269,29,5,4.6,2024-02-29
12023,248,Kano_WH,124,16,4,5.0,2024-09-20
12024,294,Abuja_WH,324,24,5,1.5,2023-05-23
12025,161,Kano_WH,58,26,8,4.8,2024-04-05
12026,254,Abuja_WH,270,8,8,2.5,2024-03-15
12027,195,Abuja_WH,390,11,6,4.0,2024-01-10
12028,205,Kano_WH,359,3,2,1.8,2023-02-20
12029,274,Lagos_WH,417,2,8,3.7,2024-09-30
12030,125,Abuja_WH,375,1,9,3.7,2023-08-18
12031,236,Abuja_WH,368,1,6,,2024-11-20
12032,190,Kano_WH,428,20,3,2.8,2023-05-27
